"General","장군"
"doesn't care one way or the other about romance","연애에 대해 전혀 신경 쓰지 않는다"
"finds romance distasteful","연애를 불쾌하다고 여긴다"
"is somewhat disgusted by romance","연애에 다소 정나미가 떨어졌다"
"finds even the abstract idea of romance repellent","심지어 연애 퇴치약에 대한 추상적인 아이디어도 떠올렸다"
"holds nature to be of greater value than most aspects of civilization","자연은 문명의 대부분의 측면보다 더 큰 가치를 지닌다."
"has a deep respect for animals, plants and the natural world","동물, 식물 및 자연 세계에 대한 깊은 존경심을 가지고 있습니다."
"values nature","자연을 중시한다"
"doesn't care about nature one way or another","어떤 식 으로든 자연을 신경 쓰지 않습니다."
"finds nature somewhat disturbing","자연이 다소 불안함을 발견"
"has a deep dislike of the natural world","자연계를 몹시 싫어한다"
"would just as soon have nature and the great outdoors burned to ashes and converted into a great mining pit","자연이 잿더미로 타오르고 거대한 광산 구덩이로 변하는 것이 더 나을 것입니다."
"believes the idea of war is utterly repellent and would have peace at all costs","전쟁을 혐오하며 평화를 위해서는 어떤 대가든지 치를 것이라고 믿는다."
"believes that peace is always preferable to war","평화는 항상 전쟁보다 낫다고 믿는다"
"values peace over war","전쟁보다 평화를 중요시한다"
"doesn't particularly care between war and peace","전쟁과 평화를 특별히 신경 쓰지 않는다"
"sees war as a useful means to an end","전쟁을 목적 달성을 위한 유익한 수단으로 본다"
"believes war is preferable to peace in general","전쟁이 전반적으로 평화보다 낫다고 믿는다"
"thinks that the world should be engaged in perpetual warfare","세상은 영원한 전쟁에 종사해야한다고 생각한다"
"a turn-around after ","이후의 역전 "
"a strengthening after ","이후 강화 "
"less extreme after ","덜 극단적인 후 "
"due to ","~ 때문에 "
"dreams of raising a family","가정을 꾸리는 꿈"
"dreams of ruling the world","세계를 지배하는 꿈"
"dreams of creating a great work of art","훌륭한 작품을 만드는 꿈"
"dreams of crafting a masterwork someday","언젠가 걸작을 만드는 꿈"
"dreams of bringing lasting peace to the world","세계에 지속적인 평화를 가져오는 꿈"
"dreams of becoming a legendary warrior","전설적인 전사가 되는 꿈"
"dreams of mastering a skill","기술을 습득하는 꿈"
"dreams of falling in love","사랑에 빠지는 꿈"
"dreams of seeing the great natural places of the world","세계의 위대한 자연을 보는 꿈"
"dreams of making a great discovery","위대한 발견을 꿈꾸다"
"dreams of attaining rank in society","사회에서 높은 지위에 오르는 꿈"
"dreams of bathing the world in chaos","세상을 혼란에 빠뜨리는 꿈"
", and this dream was realized",", 이 꿈이 실현되었습니다"
"is always in love with somebody and easily develops positive feelings","항상 누군가와 사랑에 빠지며 긍정적 인 느낌을 쉽게 갖습니다."
"very easily falls into love and develops positive feelings","아주 쉽게 사랑에 빠지고 긍정적 인 느낌을 갖습니다."
"can easily fall in love or develop positive sentiments","쉽게 사랑에 빠지거나 긍정적 인 감정을 가질 수있다."
"does not easily fall in love and rarely develops positive sentiments","쉽게 사랑에 빠지지 않으며 긍정적 인 감정을 드러내지 않는다."
"is not the type to fall in love or even develop positive feelings","사랑에 빠지거나 긍정적 인 감정을 느끼는 유형이 아닙니다."
"never falls in love or develops positive feelings toward anything","결코 사랑에 빠지거나 어떤 것에 대해 긍정적 인 감정을 갖지 않습니다."
"is often inflamed by hatred and easily develops hatred toward things","종종 증오로 염증을 느끼고 쉽게 증오를 낳습니다."
"is prone to hatreds and often develops negative feelings","증오하는 경향이 있고 종종 부정적인 느낌을 갖습니다."
"is quick to form negative views about things","사물에 대한 부정적인 견해를 신속하게 형성한다."
"does not easily hate or develop negative feelings","쉽게 부정적인 감정을 싫어하거나 개발하지 않는다."
"very rarely develops negative feelings toward things","사물에 대한 부정적인 감정을 거의 갖지 않는다."
"never feels hatred toward anyone or anything","누구에게나 증오심을 느끼지 않는다."
"is consumed by overpowering feelings of jealousy","질투심을 압도함으로써 소비된다."
"is prone to strong feelings of jealousy","질투심에 강한 경향이있다."
"often feels envious of others","종종 다른 사람들을 부러워하게 느낀다."
"doesn't often feel envious of others","종종 다른 사람들을 부러워하지 않는다."
"is rarely jealous","거의 질투심이 없다"
"never envies others their status, situation or possessions","다른 사람의 지위, 상황 또는 소유물을 부러워하지 마십시오."
"often feels filled with joy","기쁨으로 가득 찬 느낌을 자주 느낀다."
"is often cheerful","종종 쾌활하다."
"is rarely happy or enthusiastic","거의 행복하거나 열정적이지 않습니다."
"is dour as a rule","규칙으로 더워"
"is never the slightest bit cheerful about anything","아무것도 조금도 명랑하지 않습니다."
"is frequently depressed","자주 우울하다"
"is often sad and dejected","종종 슬프고 낙담하다."
"often feels discouraged","종종 낙심하고있다."
"rarely feels discouraged","낙심하지는 않는다."
"almost never feels discouraged","거의 낙심하지 않는다."
"never feels discouraged","낙심하지 않는다."
"is in a constant state of internal rage","내부 분노의 일정한 상태에있다."
"is very quick to anger","분노가 아주 빠르다."
"is quick to anger","분노가 빠르다."
"is slow to anger","분노가 늦다."
"is very slow to anger","분노가 매우 느리다."
"never becomes angry","절대로 화를 내지 않는다."
"is a nervous wreck","신경 쇠약하다."
"is always tense and jittery","항상 긴장감이있다."
"is often nervous","종종 신경이 쓰인다."
"has a calm demeanor","차분한 태도를 가졌다."
"has a very calm demeanor","아주 차분한 태도를 가졌다."
"has an incredibly calm demeanor","믿을 수 없을만큼 차분한 태도를 가지고있다."
"is constantly ablaze with feelings of lust","정욕의 감정으로 끊임없이 불타 오르고있다."
"is prone to strong feelings of lust","강한 정욕의 경향이있다."
"often feels lustful","종종 욕정을 느낀다."
"does not often feel lustful","종종 욕정을 느끼지 않는다."
"rarely looks on others with lust","욕심으로 다른 사람을 거의 본적이 없다."
"never feels lustful passions","냉혹 한 열정을 결코 느끼지 않는다."
"becomes completely helpless in stressful situations","스트레스가 많은 상황에서 완전히 무기력해진다"
"cracks easily under pressure","압박에 쉽게 부서지다"
"doesn't handle stress well","스트레스를 잘 처리하지 못한다."
"can handle stress","스트레스를 감당할 수있다."
"is confident under pressure","압력을 받고 확신하다."
"is impervious to the effects of stress","스트레스의 영향을받지 않는다."
"is as avaricious as they come, obsessed with acquiring wealth","그들이 얻는 것만큼이나 탐욕스럽고 부를 얻는데 사로 잡혀있다."
"is very greedy","욕심이 많다."
"has a greedy streak","욕심이 많다."
"doesn't focus on material goods","물질적 상품에 초점을 두지 않는다."
"desires little for ","작은 욕망 "
" in the way of possessions"," 소유의 길에서"
"often neglects ","종종 무시한다 "
" own wellbeing, having no interest in material goods"," 자신의 웰빙, 물질적 재화에 관심 없음"
"is ruled by irresistible cravings and urges","저항 할 수없는 갈망과 충동에 지배를 받는다."
"feels strong urges and seeks short-term rewards","강한 충동을 느끼고 단기 보상을 찾고있다."
"occasionally overindulges","간혹 지나치다"
"doesn't often experience strong cravings or urges","강한 갈망이나 충동을 자주 겪지 않는다."
"only rarely feels strong cravings or urges","드물게 강한 갈망이나 충동을 느끼지 않는다."
"never feels tempted to overindulge in anything","무엇이든 과장하지 말라는 유혹을 결코 느끼지 않는다."
"would never pass up a chance for a good fistfight","좋은 주먹 기회를 놓치지 않을거야."
"likes to brawl","말다툼하는 걸 좋아해."
"tends to avoid any physical confrontations","육체적 인 대립을 피하는 경향이있다."
"does not enjoy participating in physical confrontations","육체적 인 대결에 참여하는 것을 즐기지 않는다."
" mind is made up"," 마음이 만들어지다"
"is very stubborn","매우 고집 스럽다."
"is stubborn","완고하다"
"has a noticeable lack of perseverance","인내심이 뚜렷하지 않다."
"doesn't stick with things if even minor difficulties arise","경미한 어려움이 생기더라도 사물에 집착하지 않는다."
"tends to be a little wasteful when working on projects","프로젝트 작업을 할 때 약간의 낭비가있다."
"tends to be a little tight with resources when working on projects","프로젝트 작업을 할 때 리소스가 조금 부족한 경향이있다."
"revels in chaos and discord, and ","혼돈과 불화를 즐긴다. "
" encourages it whenever possible"," 가능할 때마다 격려합니다"
"finds a chaotic mess preferable to the boredom of harmonious living","조화로운 삶의 지루함에 더 가깝다."
"doesn't mind a little tumult and discord in day-to-day living","일상 생활에서 약간의 혼란과 불화를 느끼지 않는다."
"prefers that everyone live as harmoniously as possible","모두가 조화롭게 살아야한다."
"feels best when everyone gets along without any strife or contention","모두가 투쟁이나 논쟁없이 다가올 때 가장 기분이 좋다."
"is very friendly and always tries to say nice things to others","매우 친절하고 항상 다른 사람들에게 좋은 것을 말하려고합니다."
"is a friendly individual","친절한 사람이다."
"is somewhat quarrelsome","다소 싸우다"
"is unfriendly and disagreeable","비우호적이고 불쾌하다."
"exhibits a refined politeness and is determined to keep the guiding rules of etiquette and decorum as if life itself depended on it","세련된 공손함을 보여주고, 삶 자체가 그것에 의존하는 것처럼 에티켓과 예절의 지침을 지키기로 결심했습니다."
"is very polite and observes appropriate rules of decorum when possible","가능하다면 예의 바르며 적절한 예의 범절을 지킵니다."
"is quite polite","아주 예의 바르다."
"could be considered rude","무례한 것으로 간주 될 수있다."
"is very impolite and inconsiderate of propriety","매우 무례하고 타당성에 대해 무의미하다."
"is a vulgar being who does not care a lick for even the most basic rules of civilized living","문명과 공동체 생활의 가장 기본적인 규칙조차도 신경쓰지 않을 정도로 버릇이 없다. "
"disdains even the best advice of associates and family, relying strictly on ","동료들과 가족들의 정성어린 조언조차도 무시하고, 지나치게 의존합니다. "
"dislikes receiving advice, preferring to keep ","조언을 받는 것을 싫어하고 유지하는 것을 선호함 "
"has a tendency to go it alone, without considering the advice of others","다른 사람의 충고를 고려하지 않고 혼자서 처리하려는 경향이 있다"
"tends to ask others for help with difficult decisions","어려운 결정에 도움을 청하기 쉽다."
"relies on the advice of others during decision making","의사 결정 중에 다른 사람들의 조언에 의존한다."
"is unable to make decisions without a great deal of input from others","다른 사람들로부터 많은 의견없이 의사 결정을 내릴 수 없다."
"is utterly fearless when confronted with danger, to the point of lacking common sense"," 위험 앞에서 상식을 뛰어넘을정도로 용감하며 전혀 두려움이 없다."
"is incredibly brave in the face of looming danger, perhaps a bit foolhardy","다가오는 위험 앞에서 믿을 수 없을 정도로 아니 무모할정도로 용감하다, "
"is brave in the face of imminent danger","임박한 위험에 직면 해 용감하다."
"is somewhat fearful in the face of imminent danger","임박한 위험에 직면하여 다소 두렵다."
"has great trouble mastering fear when confronted by danger","위험에 직면했을 때 두려움을 타파하는 데 큰 어려움이있다."
"is a coward, completely overwhelmed by fear when confronted with danger"," 위험에 직면했을 때 두려움에 완전히 압도되는 겁쟁이다."
"presupposes success in any venture requiring ","필요한 모든 벤처에서 성공을 전제로 합니다. "
" skills with what could be called blind overconfidence"," 맹목적인 과신이라고 할 수 있는 기술"
"is extremely confident of ","극도로 자신있다 "
" in situations requiring "," 요구하는 상황에서 "
" skills"," 기술"
"is generally quite confident of ","대체로 자신있다. "
" abilities when undertaking specific ventures"," 특정 사업을 수행할 때의 능력"
"sometimes acts with little determination and confidence","때로는 작은 결심과 자신감으로 행동한다."
"lacks confidence in ","자신감이 부족하다 "
" abilities"," 능력"
"has no confidence at all in ","에 대해 전혀 확신이 없다 "
" talent and abilities"," 재능과 능력"
"is completely wrapped up in ","에 완전히 싸여있다 "
" own appearance, abilities and other personal matters"," 자신의 외모, 능력 및 기타 개인적인 사항"
"is greatly pleased by ","크게 기뻐한다 "
" own looks and accomplishments"," 자신의 외모와 업적"
"is pleased by ","기뻐하다 "
" own appearance and talents"," 자신의 외모와 재능"
"is not inherently proud of ","본질적으로 자랑스럽지 않습니다 "
" talents and accomplishments"," 재능과 업적"
"takes no pleasure in ","기뻐하지 않는다 "
" talents and appearance"," 재능과 외모"
"could not care less about ","덜 신경 쓸 수 없었다 "
" appearance, talents or other personal vanities"," 외모, 재능 또는 기타 개인적인 허영심"
"has a relentless drive, completely consumed by ambition","야망에 의해 완전히 소비되는 잔인한 운전을한다."
"is very ambitious, always looking for a way to better ","매우 야심차고 항상 더 나은 방법을 찾고 있습니다. "
" situation"," 상황"
"is quite ambitious","아주 야심적이다."
"isn't particularly ambitious","특별히 야심적이지 않다."
"has no ambition whatsoever","무엇이든지 야망이 없다."
"feels a strong need to reciprocate any favor done for ","호의를 보답해야 할 강한 필요성을 느낍니다. "
"is grateful when others help ","다른 사람이 도와줄 때 감사한다 "
" out and tries to return favors"," 나가서 호의를 보답하려고합니다."
"takes offered help and gifts without feeling particularly grateful","헌신적 인 도움과 선물을 특히 감사하지 않고 데려 간다."
", no matter how major the help or how much ",", 아무리 큰 도움이 얼마나 많이 "
" needed it"," 그것이 필요했다"
"always presents ","항상 선물 "
"likes to present ","선물하기를 좋아한다 "
" boldly, even if it would offend an average sense of modesty"," 대담하게, 비록 그것이 평균적인 겸손함을 상하게 할지라도"
"doesn't mind wearing something special now and again","뭔가 특별한 것을 신어도 상관 없습니다."
"prefers to present ","제시하는 것을 선호 "
" modestly"," 적당히"
"presents ","선물 "
" modestly and frowns on any flashy accoutrements"," 겸손하고 화려한 장신구에 눈살을 찌푸립니다."
"finds the humor in most situations","대부분의 상황에서 유머를 발견하다."
"has an active sense of humor","활발한 유머 감각을 가지고있다."
"has little interest in joking around","농담에 관심이 없다."
"does not find most jokes humorous","유머러스 한 농담을 대부분 찾지 못한다."
"is utterly humorless","전혀 유머가 없다."
"is vengeful and never forgets or forgives past grievances","용의주도하고 과거의 불만을 잊어 버리거나 용서하지 않는다."
"has little time for forgiveness and will generally seek retribution","용서를위한 시간이 거의없고 일반적으로 보복을 구할 것이다."
"tends to hang on to grievances","불만을 호소하는 경향이있다."
"doesn't tend to hold on to grievances","불만을 품지 않는 경향이있다."
"does not generally seek retribution for past wrongs","일반적으로 과거의 잘못에 대한 보복을 요구하지 않는다."
"has no sense of vengeance or retribution","복수심이나 보복의 의미가 없다."
"is absorbed in delusions of self-importance","자기 계시의 망상에 빠지다"
"has an overinflated sense of self-worth","자신의 가치가 지나치게 퍼져있다."
"thinks ","생각하다 "
" is fairly important in the grand scheme of things"," 사물의 거대한 계획에서 상당히 중요합니다"
"is very humble","매우 겸손하다."
"has a low sense of self-esteem","자긍심이 낮다."
"is completely convinced of ","완전히 확신한다 "
" own worthlessness"," 자신의 무가치함"
"is deliberately cruel to those unfortunate enough to be subject to ","대상이 될 정도로 불행한 사람들에게 의도적으로 잔인합니다. "
" sadism"," 사디즘"
"generally acts impartially and is rarely moved to mercy","일반적으로 공평하게 행동하며 거의 자비로 옮겨지지 않습니다."
"often acts with compassion","연민으로 자주 행동한다."
"is easily moved to mercy","자비로 쉽게 옮겨진다."
"always acts with mercy and compassion at the forefront of ","항상 최전선에서 자비와 연민으로 행동합니다. "
" considerations"," 고려 사항"
"can be very single-minded","매우 단정적 일 수있다."
"generally acts with a narrow focus on the current activity","일반적으로 현재 활동에 대한 좁은 초점으로 작동합니다."
"can occasionally lose focus on the matter at hand","수시로 문제의 초점을 잃을 수 있음"
"is somewhat scatterbrained","다소 분산되어있다."
"has such a developed sense of optimism that ","그렇게 발달된 낙관론을 가지고 있습니다. "
" always assumes the best outcome will eventually occur, no matter what"," 어떤 일이 있어도 결국 최선의 결과가 발생할 것이라고 항상 가정합니다."
"is an optimist","낙관론자이다."
"generally finds ","일반적으로 발견 "
" quite hopeful about the future"," 미래에 대해 상당히 희망적이다"
"is a pessimist","비관론자 다."
"is implacably curious, without any respect for propriety or privacy","궁극적으로 호기심이 많으며, 타당성이나 사생활을 존중하지 않습니다."
"is very curious, sometimes to ","매우 궁금해서 가끔 "
" detriment"," 상해"
"is curious and eager to learn","호기심이 많고 배우기를 간절히 원한다."
"isn't particularly curious about the world","특히 세계에 호기심이 없다."
"is very rarely moved by curiosity","호기심에 의해 거의 움직이지 않는다."
"is incurious and never seeks out knowledge or information to satisfy ","호기심이 많고 만족할 지식이나 정보를 찾지 않습니다. "
"is gripped by a crippling shyness","무심코 수줍음에 사로 잡혀있다."
"is bashful","부끄럽다"
"tends to consider what others think of ","다른 사람들이 생각하는 것을 고려하는 경향이 있습니다. "
"is not particularly interested in what others think of ","다른 사람들이 생각하는 것에 특별히 관심이 없습니다 "
"is generally unhindered by the thoughts of others concerning ","일반적으로 다른 사람들의 생각에 의해 방해받지 않습니다. "
" actions"," 행위"
"is shameless, absolutely unfazed by the thoughts of others","뻔뻔스럽고, 다른 사람들의 생각에 절대적으로 동조하지 않습니다."
"has a strong tendency toward privacy","사생활에 대한 강한 경향이있다."
"tends not to reveal personal information","개인 정보를 공개하지 않는 경향이있다."
"tends to share ","공유하는 경향이 있다 "
" own experiences and thoughts with others"," 자신의 경험과 다른 사람에 대한 생각"
"is not a private person and freely shares details of ","개인이 아니며 자유롭게 정보를 공유합니다. "
" life"," 삶"
"shares intimate details of ","의 친밀한 세부 사항을 공유합니다. "
" life without sparing a thought to repercussions or propriety"," 반발이나 예의를 생각하지 않는 삶"
"is a perfectionist","완벽 주의자이다."
"tries to do things correctly each time","매번 정확하게 일을 시도합니다."
"doesn't try to get things done perfectly","일을 완벽하게 해내려고하지 않는다."
"is inattentive to detail in ","세부 사항에 부주의하다 "
" own work"," 자신의 일"
"is frustratingly sloppy and careless with every task ","매사에 답답할 정도로 조잡하고 부주의하다 "
" sets to carry out"," 수행하도록 설정"
"is completely closed-minded and never changes ","완전히 폐쇄적이며 절대 변하지 않는다 "
" mind after forming an initial idea"," 초기 아이디어를 형성한 후의 마음"
"is intellectually stubborn, rarely changing ","지적으로 완고하고 거의 변하지 않습니다. "
" mind during a debate regardless of the merits"," 장점에 관계없이 토론 중 마음"
"tends to be a bit stubborn in changing ","변화에 약간 완고한 경향이 있습니다. "
" mind about things"," 사물에 대한 마음"
" mind"," 정신"
"often finds ","자주 찾는다 "
" changing "," 바꾸다 "
" mind to agree with somebody else"," 다른 사람과 동의하는 마음"
"easily changes ","쉽게 변경 "
" mind and will generally go with the prevailing view on anything"," 일반적으로 모든 것에 대한 일반적인 견해를 따를 것입니다."
"is very comfortable around others that are different from ","다른 사람들과 매우 편안합니다. "
"is made deeply uncomfortable by differences in culture or appearance","문화 나 외관의 차이로 인해 크게 불편 함을 느낀다."
"forms strong emotional bonds with others, at times to ","다른 사람들과 강한 감정적 유대를 형성하고, 때때로 "
"has a tendency toward forming deep emotional bonds with others","다른 사람들과 깊은 정서적 유대를 형성하려는 경향이있다."
"tends to form only tenuous emotional bonds with others","다른 사람들과의 감정적 인 유대를 형성하는 경향이있다."
"forms only fleeting and rare emotional bonds with others","한순간과 희귀 한 정서적 유대를 다른 사람들과 형성한다."
"is buffeted by others' emotions and can't help but to respond to them","다른 사람들의 감정에 푹 빠져 도움을 줄 수는 없지만 그들에게 반응한다."
"is swayed by emotional appeals","감정적 인 항소로 흔들린다."
"tends to be swayed by the emotions of others","다른 사람들의 감정에 흔들리는 경향이있다."
"does not generally respond to emotional appeals","일반적으로 감정적 호소에 반응하지 않습니다."
"is never moved by the emotions of others","다른 사람들의 감정으로 결코 움직이지 않는다."
"is truly fulfilled by assisting those in need","도움이 필요한 사람들을 지원함으로써 진정으로 성취됩니다."
"finds helping others very emotionally rewarding","다른 사람들이 매우 감정적으로 보람을 느끼도록 돕는다."
"finds helping others emotionally rewarding","감정적으로 보람있는 사람들을 돕는다."
"does not go out of ","밖으로 나가지 않는다 "
" way to help others"," 다른 사람을 돕는 방법"
"dislikes helping others","남을 돕는 것을 싫어한다"
"feels helping others is an imposition on ","다른 사람을 돕는 것이 의무라고 생각합니다. "
" time"," 시각"
"has a profound sense of duty and obligation","심오한 의무와 의무감이있다."
"has a strong sense of duty","의무감이 강하다."
"has a sense of duty","의무감이있다."
"finds obligations confining","감금 의무를 발견하다."
"dislikes obligations and will try to avoid being bound by them","의무를 싫어하고 그들에게 구속되는 것을 피하려고 노력할 것입니다."
"doesn't generally think before acting","행동하기 전에는 일반적으로 생각하지 않는다."
"can sometimes act without deliberation","때로는 심의하지 않고 행동 할 수있다."
"tends to think before acting","행동하기 전에 생각하는 경향이있다."
"can get caught up in internal deliberations when action is necessary","행동이 필요할 때 내부 심의에 빠질 수있다."
"never acts without prolonged deliberation, even to ","오랜 숙고 없이는 결코 행동하지 않는다. "
" own detriment and the harm of those around "," 자신의 피해와 주변 사람들의 피해 "
"is obsessed with order and structure in ","질서와 구조에 집착한다. "
" own life, with everything kept in its proper place"," 자신의 삶, 모든 것이 적절한 위치에 유지됨"
"lives an orderly life, organized and neat","조직적이고 깔끔한 질서 정연한 삶을 살아 간다."
"tries to keep ","유지하려고 "
" things orderly"," 정돈된 것들"
"tends to make a small mess with ","작은 혼란을 일으키는 경향이 있습니다. "
" own possessions"," 자신의 소유물"
"is sloppy with ","엉성하다 "
" living space"," 거주 공간"
"is naturally trustful of everybody","자연스럽게 모두를 신뢰한다."
"is very trusting","매우 신뢰하고있다."
"is trusting","신뢰하고있다."
"is slow to trust others","다른 사람들을 신뢰하는 것이 느리다."
"does not trust others","다른 사람을 신뢰하지 않는다."
"sees others as selfish and conniving","다른 사람들을이기적이고 근심스러운 것으로 본다."
"truly treasures the company of others","진정으로 다른 사람들의 회사를 보물로 삼는다."
"enjoys being in crowds","군중에 서기를 즐긴다."
"enjoys the company of others","다른 사람들을 즐긴다."
"tends to avoid crowds","군중을 피하는 경향이있다"
"prefers to be alone","혼자있는 것을 좋아한다."
" has something to say"," 할말이 있다"
"has an overbearing personality","위압적 인 성격을 가지고있다."
"is assertive","단정적이다"
"tends to be passive in discussions","토론에서 수동적 인 경향이있다."
"only rarely tries to assert ","거의 주장하려고하지 않습니다 "
" in conversation"," 대화 중"
"would never under any circumstances speak up or otherwise put forth ","어떤 상황에서도 과묵함을 지킵니다 "
" point of view in a discussion"," 토론의 관점"
"is driven by a bouncing frenetic energy","튀는 열광적 인 에너지로 움직인다."
"lives at a high-energy kinetic pace","고 에너지 운동 속도로 산다."
"lives a fast-paced life","빠르게 살아가는 삶"
"likes to take it easy","느긋하게 지내는 것을 좋아합니다"
"lives at a slow-going and leisurely pace","천천히 여유롭게 살아갑니다"
"has an utterly languid pace of easy living, calm and slow","쉬운 생활, 평온하고 느린의 완전히 느슨한 속도가 있습니다."
"seeks out exciting and adventurous situations","흥미 진진하고 모험적인 상황을 찾습니다."
"likes a little excitement now and then","지금은 약간의 흥분을 좋아합니다."
"doesn't seek out excitement","흥분을 찾지 않는다."
"actively avoids exciting or stressful situations","흥미 진진하거나 스트레스가 많은 상황을 적극적으로 피합니다."
"does everything in ","모든 일을 "
" power to avoid excitement and stress"," 흥분과 스트레스를 피하는 힘"
"is given to flights of fancy to the point of distraction","주의 산만의 지점까지 공상의 비행에 제공됩니다."
"has an active imagination","상상력이 풍부합니다"
"isn't given to flights of fancy","날아 다니는 상상에는 관심이 없습니다"
"is grounded in reality","현실에 근거하다"
"is interested only in facts and the real world","입증 가능한 사실과 현실 세계에만 관심이 있습니다"
"strongly prefers discussions of ideas and abstract concepts over handling specific practical issues","구체적인 실제 문제를 다루는 것보다 아이디어와 추상적 개념에 대한 토론을 매우 선호합니다"
"can easily become absorbed in art and the beauty of the natural world","예술과 자연의 아름다움에 쉽게 심취할 수 있습니다"
"is greatly moved by art and natural beauty","예술과 자연의 아름다움에 큰 감동을 받습니다"
"is moved by art and natural beauty","예술과 자연의 아름다움에 감동을 받습니다"
"does not have a great aesthetic sensitivity","미적 감각이 좋은 편은 아닙니다."
"is not readily moved by art or natural beauty","예술이나 자연의 아름다움에 쉽게 감동받지 않습니다"
"is completely unmoved by art or the beauty of nature","예술이나 자연의 아름다움에 전혀 감동받지 않습니다"
"a turn-around ","역전 "
"a strengthening ","강화 "
"less extreme ","덜 극단적인 "
" is troubled by this because "," 때문에 고민이다. "
" values romance"," 가치 로맨스"
" holds romance in low regard"," 로맨스를 낮게 평가하다"
" is conflicted by this as "," 는 다음과 같이 충돌합니다. "
" values parties and merrymaking in the abstract"," 추상적인 가치 파티와 유흥"
", though ",", 그렇지만 "
" remains put off by deliberate merrymaking"," 고의적인 유흥으로 연기된 채로 남아 있습니다."
" values self-control"," 자제력을 중시한다"
" values such powerful forces in life"," 삶의 강력한 힘을 소중히 여깁니다."
" is conflicted by this for more than one reason"," 여러 가지 이유로 이것과 충돌합니다."
" is disturbed by this since "," 이래저래 방해된다. "
" values quiet so, at least in the abstract"," 적어도 추상적으로 볼 때 조용한 가치"
", even though ",", 일지라도 "
" likes the way that they would break up the monotony on some level"," 그들이 어떤 수준에서 단조로움을 깨는 방식을 좋아합니다."
" dislikes the adoration of fighting as an art to be refined"," 세련되어야 할 예술로서의 싸움의 숭배를 싫어합니다."
" works to square this natural tendency with "," 이 자연스러운 경향을 "
" respect of martial prowess"," 무술 존중"
" finds this troubling, since "," 이 문제를 발견하기 때문에 "
" values perseverance"," 가치 인내"
" is conflicted by this part of "," 이 부분에서 충돌 "
" is conflicted by this since "," 이래저래 갈등한다. "
" values harmony as an intellectual concept"," 지적 개념으로서의 조화를 중시"
" is troubled by "," 고민하다 "
" own nature as "," 자신의 본성을 "
" prefers discord and debate at a more abstract level"," 보다 추상적인 수준에서 불화와 토론을 선호합니다."
" nature since "," 자연 이후 "
" values harmony"," 가치 조화"
" is conflicted by "," ~와 충돌하다 "
" would ideally prefer more strife in "," 이상적으로는 더 많은 투쟁을 선호합니다 "
" is bothered by this since "," 이래저래 귀찮다. "
" values friendship"," 우정을 중요시한다"
" is burdened by this tendency because "," 이러한 경향이 부담스럽기 때문에 "
" dislikes the idea of friendship"," 우정에 대한 생각을 싫어한다"
" finds rules of etiquette to be valuable in the abstract"," 에티켓의 규칙은 추상적으로 가치가 있음을 발견합니다."
" is troubled by this natural tendency in "," 이러한 자연스러운 경향에 문제가 있습니다. "
" since "," ~부터 "
" sees these tendencies as an impediment to the quest for power"," 이러한 경향을 권력 추구의 장애물로 본다."
" struggles against this tendency, as "," 다음과 같이 이러한 경향에 맞서 싸운다. "
" finds such open expression offensive"," 그러한 열린 표현이 불쾌감을 준다고 생각합니다."
" dislikes this sort of concealment in the abstract"," 추상적으로 이런 종류의 은폐를 싫어합니다."
" truly respects sacrifice"," 진정으로 희생을 존중합니다"
" wishes this were not the case as "," 이것이 사실이 아니길 바란다 "
" considers altruism foolish"," 이타주의를 어리석게 여긴다"
" believes in the importance of the rule of the law"," 법의 지배의 중요성을 믿는다."
" still holds the law in disdain"," 여전히 법을 경멸한다"
" values the concept of loyalty and is troubled by "," 충성심의 개념을 소중히 여기며 "
" natural tendencies"," 타고난 성향"
" still views loyalty in a dim light, at least in the abstract"," 적어도 추상적인 측면에서는 여전히 희미한 빛으로 충성도를 봅니다."
", although ",", 하지만 "
" finds this can conflict with "," 이것이 다음과 충돌할 수 있음을 발견 "
" sense of independence"," 독립심"
" still holds the idea of freedom itself in low regard"," 여전히 자유라는 개념 자체를 낮게 평가합니다."
" is conflicted by this because "," 이것 때문에 갈등한다. "
" considers tranquility preferable to tumult, conceptually"," 개념적으로 소란보다 평온을 선호합니다."
" feels intellectually that life should be more tumultuous"," 삶이 더 격동적이어야 한다고 지적으로 느낀다"
" values artwork and its creation"," 예술 작품과 창작물을 소중히 여깁니다."
" is torn by this since "," 이것 때문에 찢어진다. "
" sees the whole pursuit of art as a waste"," 예술을 추구하는 모든 것을 낭비로 본다"
" holds nature in high regard"," 자연을 소중히 여기다"
" is troubled by this since "," 이래저래 고민이다 "
" is currently "," 현재 "
"more love-prone","더 사랑하기 쉬운"
"less love-prone","덜 사랑하기 쉬운"
"more hate-prone","더 증오하기 쉬운"
"less hate-prone","덜 증오하기 쉬운"
"more envy-prone","더 부러워"
"more prone to cheerfulness","쾌활함에 더 취약하다"
"less prone to cheerfulness","덜 쾌활한 경향이"
"more depression-prone","더 우울증에 걸리기 쉬운"
"less depression-prone","덜 우울증"
"more anger-prone","더 분노하기 쉬운"
"less anger-prone","덜 화를 내다"
"more anxiety-prone","더 불안하기 쉬운"
"less anxiety-prone","불안이 적다"
"more lust-prone","더 욕망하기 쉬운"
"less lust-prone","덜 정욕적인"
"more vulnerable","더 취약한"
"less vulnerable","덜 취약한"
